X1_um,Y1_um,Z1_um,X2_um,Y2_um,Z2_um
-0.236212279,1.39489114703295e-06,0.236212279,-6.94E-12,6.93889390390723e-12,0
2.827173906,-8.661570169,-2.827173906,-3.061868925,-8.662437189,3.061868925
12.13100686,-34.93899404,-12.13100686,-12.34485844,-34.95397074,12.34485844
19.53977379,-55.8332612,-19.53977379,-19.71960509,-55.87179369,19.71960509
26.96903185,-76.75799165,-26.96903185,-27.09929043,-76.8310763,27.09929043
36.8876335,-104.6515286,-36.8876335,-36.92766364,-104.7877463,36.92766364
44.33564486,-125.5653191,-44.33564486,-44.28990846,-125.7616818,44.28990846
51.79139956,-146.473593,-51.79139956,-51.64438662,-146.7410679,51.64438662
61.74444675,-174.3426981,-61.74444675,-61.43827182,-174.7220495,61.43827182
69.21826016,-195.2380745,-69.21826016,-68.77461881,-195.7141282,68.77461881
76.69980959,-216.1279138,-76.69980959,-76.10319195,-216.711637,76.10319195
86.68723911,-243.9724097,-86.68723911,-85.86252666,-244.7167522,85.86252666
94.1868313,-264.8493069,-94.1868313,-93.17295297,-265.7269087,93.17295297
101.6941527,-285.7206479,-101.6941527,-100.4755987,-286.7424762,100.4755987
111.7159341,-313.5404498,-111.7159341,-110.2003532,-314.7716397,110.2003532
119.2412822,-334.3988041,-119.2412822,-117.4848366,-335.79981,117.4848366
129.2870918,-362.2012697,-129.2870918,-127.1853673,-363.8457565,127.1853673
136.8304554,-383.0466063,-136.8304554,-134.4516774,-384.8864985,134.4516774
144.3815365,-403.8863543,-144.3815365,-141.7101956,-405.9326186,141.7101956
154.4616461,-431.6639817,-154.4616461,-151.3760958,-434.0024682,151.3760958
162.0307266,-452.4906675,-162.0307266,-158.6164252,-455.061115,158.6164252
169.6075177,-473.3117457,-169.6075177,-165.8489562,-476.1251207,165.8489562
179.7218965,-501.0644504,-179.7218965,-175.4801964,-504.2187879,175.4801964
187.3166709,-521.8724219,-187.3166709,-182.6945231,-525.2952754,182.6945231
194.9191489,-542.6747668,-194.9191489,-189.9010448,-546.3771026,189.9010448
205.0677661,-570.4024642,-205.0677661,-199.4975957,-574.4945018,199.4975957
212.6882112,-591.1916581,-212.6882112,-206.6858978,-595.5887658,206.6858978
220.316353,-611.9752063,-220.316353,-213.8663882,-616.6883503,213.8663882
230.4991777,-639.6778119,-230.4991777,-223.4282205,-644.8293957,223.4282205
238.1452703,-660.4481648,-238.1452703,-230.5904761,-665.941372,230.5904761
245.7990526,-681.2128531,-245.7990526,-237.7449134,-687.0586494,237.7449134
256.0160538,-708.8902826,-256.0160538,-247.271998,-715.2232555,247.271998
263.6877706,-729.6417312,-263.6877706,-254.4081851,-736.3528796,254.4081851
271.3671701,-750.3874962,-271.3671701,-261.5365475,-757.4877856,261.5365475
