X1_um,Y1_um,Z1_um,X2_um,Y2_um,Z2_um
0,0,0,0,0,0
44,-126,-44,-44,-126,44
94,-265,-94,-93,-266,93
144,-404,-144,-142,-406,142
195,-543,-195,-190,-546,190
246,-681,-246,-238,-687,238
297,-819,-297,-285,-828,285
349,-958,-349,-332,-969,332
403,-1102,-403,-382,-1118,382
455,-1240,-455,-428,-1259,428
508,-1377,-508,-474,-1401,474
561,-1514,-561,-520,-1543,520
614,-1651,-614,-565,-1685,565
668,-1787,-668,-610,-1828,610
722,-1923,-722,-655,-1971,655
776,-2059,-776,-699,-2114,699
831,-2195,-831,-743,-2257,743
886,-2330,-886,-787,-2400,787
941,-2465,-941,-830,-2544,830
996,-2600,-996,-873,-2688,873
1052,-2735,-1052,-915,-2832,915
1109,-2869,-1109,-958,-2976,958
1165,-3003,-1165,-1000,-3120,1000
1225,-3144,-1225,-1043,-3272,1043
1282,-3277,-1282,-1084,-3417,1084
1340,-3410,-1340,-1125,-3562,1125
1398,-3543,-1398,-1165,-3708,1165
1456,-3676,-1456,-1205,-3853,1205
1515,-3808,-1515,-1245,-3999,1245
1574,-3940,-1574,-1284,-4145,1284
1633,-4072,-1633,-1323,-4291,1323
1693,-4203,-1693,-1362,-4437,1362
1753,-4334,-1753,-1400,-4583,1400
1813,-4465,-1813,-1438,-4730,1438
1873,-4595,-1873,-1476,-4877,1476
1934,-4726,-1934,-1513,-5024,1513
1995,-4856,-1995,-1549,-5171,1549
2057,-4985,-2057,-1586,-5318,1586
2122,-5121,-2122,-1624,-5473,1624
2184,-5250,-2184,-1659,-5621,1659
2247,-5379,-2247,-1695,-5769,1695
2309,-5507,-2309,-1730,-5917,1730
2372,-5635,-2372,-1764,-6065,1764
2436,-5763,-2436,-1798,-6214,1798
2500,-5890,-2500,-1832,-6362,1832
2564,-6017,-2564,-1866,-6511,1866
2628,-6144,-2628,-1899,-6660,1899
2693,-6271,-2693,-1932,-6809,1932
2758,-6397,-2758,-1964,-6958,1964
2823,-6523,-2823,-1996,-7108,1996
